year,month,cat_name,location,total_money,total_discount
2017,5,Big Beer - Bottled,The Dram Shop Front St.,9.0,0.0
2017,5,Cider - Bottled,The Dram Shop Front St.,262.44,25.06
2017,5,Cider - Draught,The Dram Shop Front St.,5050.85,302.65
2017,5,FLIGHT,The Dram Shop Front St.,1015.24,4.76
2017,5,Glassware,The Dram Shop Front St.,114.0,0.0
2017,5,Growlers,The Dram Shop Front St.,1311.46,37.54
2017,5,IPA - Bottled,The Dram Shop Front St.,70.86,2.14
2017,5,IPA - Draught,The Dram Shop Front St.,14111.01,1005.99
2017,5,Kombucha,The Dram Shop Front St.,1132.99,35.76
2017,5,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,120.0,3.0
2017,5,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,5563.73,646.02
2017,5,Misc.,The Dram Shop Front St.,98.47,0.53
2017,5,Porters/Stouts - Bottled,The Dram Shop Front St.,62.5,0.0
2017,5,Porters/Stouts - Draught,The Dram Shop Front St.,3378.71,221.04
2017,5,Red Wine - Bottled,The Dram Shop Front St.,119.5,5.5
2017,5,Rosé Wine - Bottled,The Dram Shop Front St.,149.1,14.9
2017,5,Seasonal/Event,The Dram Shop Front St.,2313.88,243.62
2017,5,Snacks,The Dram Shop Front St.,223.39,15.11
2017,5,Soda - Bottled,The Dram Shop Front St.,16.66,2.34
2017,5,Soda - Draught,The Dram Shop Front St.,481.85,21.4
2017,5,Softgoods,The Dram Shop Front St.,396.75,26.25
2017,5,Sour - Bottled,The Dram Shop Front St.,196.09,2.41
2017,5,Sour - Draught,The Dram Shop Front St.,4165.24,124.76
2017,5,Sparkling Wine - Bottled,The Dram Shop Front St.,108.0,12.0
2017,5,Tastings,The Dram Shop Front St.,306.0,0.0
2017,5,White Wine - Bottled,The Dram Shop Front St.,311.4,42.6
2017,5,Wine - Bottled,The Dram Shop Front St.,438.65,41.35
2017,5,Wine - Draught,The Dram Shop Front St.,2992.21,82.79
2017,6,,The Dram Shop Front St.,2927.39,944.36
2017,6,Ambers/Pales - Bottled,The Dram Shop Front St.,2.57,1.43
2017,6,Ambers/Pales - Draught,The Dram Shop Front St.,3611.54,487.46
2017,6,Barley Wine - Bottled,The Dram Shop Front St.,10.96,2.04
2017,6,Barley Wine - Draught,The Dram Shop Front St.,82.63,63.37
2017,6,Belgian - Bottled,The Dram Shop Front St.,121.0,20.0
2017,6,Belgian - Draught,The Dram Shop Front St.,1280.7,39.8
2017,6,Big Beer - Bottled,The Dram Shop Front St.,15.0,0.0
2017,6,Cider - Bottled,The Dram Shop Front St.,137.24,8.76
2017,6,Cider - Draught,The Dram Shop Front St.,5000.67,165.83
2017,6,FLIGHT,The Dram Shop Front St.,1138.15,1.85
2017,6,Glassware,The Dram Shop Front St.,146.9,14.1
2017,6,Growlers,The Dram Shop Front St.,2281.79,21.21
2017,6,IPA - Bottled,The Dram Shop Front St.,85.14,2.86
2017,6,IPA - Draught,The Dram Shop Front St.,14513.28,722.72
2017,6,Kombucha,The Dram Shop Front St.,971.05,21.45
2017,6,Lagers/Pils/Wheat - Bottled,The Dram Shop Front St.,68.0,1.5
2017,6,Lagers/Pils/Wheat - Draught,The Dram Shop Front St.,6923.81,341.19
2017,6,Misc.,The Dram Shop Front St.,109.0,0.0
2017,6,Porters/Stouts - Bottled,The Dram Shop Front St.,81.83,6.17
